experiment_id,year,author,name,model_id,x,y,uncertainty,error
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.3768979048693174,0.083860696063474,0.9203141942899249,0.04260108822995218
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.5224337367084626,0.050701531115149946,0.9430240759302964,0.030460084410862787
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.5800141922547855,0.026461752087166286,0.979473736456265,0.010973612633590361
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.6782374122954151,0.028390371028468645,0.9652094682995546,0.018599479509940307
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,0.7103668286030346,0.019351487116737218,0.979658710840681,0.01087472287523791
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF,7,1.0,0.0,1.0,0.0
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.0,1.0,0.9999999999999993,3.3306690738754696e-16
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.01934579016482242,0.7527599936566927,0.5860966551433724,0.22127821581002238
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.06142227238868026,0.6869218370305272,0.3014209872113387,0.3734696021984239
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.09248837807668132,0.5847286708610152,0.39286535097802955,0.3245822329330581
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.18734721158465345,0.3531829257709042,0.6999791606811918,0.1603951184624698
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.23538762384560646,0.33668827025827225,0.6944800657526563,0.16333500751984814
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.2440386094136585,0.2306737164391793,0.8862351948893046,0.06082017313870591
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.2893319726665064,0.1491762438791342,0.9955967013277174,-0.0023540618504033772
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.30960775407361923,0.17008017120575228,0.9499594403216619,0.026752346656181647
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.3768979048693174,0.083860696063474,0.9396850274123312,-0.03224518401863323
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.5224337367084626,0.050701531115149946,0.9323267701538227,-0.03617900590692431
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.5800141922547855,0.026461752087166286,0.9065800467175306,-0.049943545613435454
205,2014,"Mathieu, Olivier; Deguillaume, Fiona; Petersen, Eric L.",CRECK_2106_PRF_2,11,0.6782374122954151,0.028390371028468645,0.9436119250928987,-0.030145812454662173
